HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
wav2vec2-base-960h_batch16-inf,1.0,0.6810044760426024,1.0,1.0,1.0,0.5543157707364174,0.5580567580990071,0.5580567580990071,0.5543157707364174,0.5543157707364174,0.611645375334985,0.5580567580990071,0.5580567580990071,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5826327991723681,1.0,0.4875796782589437,0.4875796782589437,0.7370861369387272,0.7370861369387272,0.47633664540945403,0.7370861369387272,0.4875796782589437,0.7370861369387272,0.9007403056909304,0.6543980826484417,71.34105897685878
wav2vec2-base-960h_batch2-inf,1.0,0.5553891177235023,0.8330765631723457,0.35087164938969445,0.8717991927662279,0.4163144099722503,0.4236461307417013,0.4236461307417013,0.4163144099722503,0.35087164938969445,0.5446304762980363,0.8330765631723457,0.7058265126335805,119.14691721842664
albert-base-v2_batch8-train,1.0,0.5083862467896015,0.8648474839143732,0.9248744559537534,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.36962648534646164,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6592599531081494,0.9949170330470198,0.3748190702405995,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.5049830552155878,0.8575595254353239,0.45113416138436896,0.8575595254353239,0.9140425297435947,0.9147804505891403,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5204858572158331,0.8682503512203738,0.4055756522128341,0.8942218852724193,0.3963235710313099,0.40345047326422595,0.40345047326422595,0.3963235710313099,0.4055756522128341,0.4963794196970473,0.41765174423940676,0.40345047326422595,87.79801481660778
bert-base-cased_batch2-inf,1.0,0.6061369718745631,1.0,0.3150623048491435,0.7372214213705458,0.8660996568459615,0.8660996568459615,0.4660494260304483,0.8660996568459615,0.3618245743847871,0.8660996568459615,0.3150623048491435,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.4708072000199605,0.9095122975323588,0.33795948753442673,1.0,0.7111853388365563,0.7111853388365563,0.3009878714032219,0.7111853388365563,0.33795948753442673,0.7111853388365563,0.3493917545470744,0.6964830732245132,99.59142512302661
vit_h_14_batch16-train,1.0,0.7312837556862839,1.0,1.0,1.0,0.2661902896319158,0.2661902896319158,0.2661902896319158,0.2661902896319158,0.2661902896319158,0.927660977426936,1.0,0.2661902896319158,64.06757245336577
vit_h_14_batch2-train,1.0,0.43236886333490193,0.7937387134826135,1.0,1.0,0.7044821906008567,0.7044821906008567,0.2691610909711608,0.7044821906008567,0.08502219357790342,0.7044821906008567,0.9315484616201056,0.2691610909711608,89.84042789328248
whisper-large-v2_batch2-inf,1.0,0.2904382646756459,0.34381470649011125,0.3399808259658301,0.3399808259658301,0.1724784021999559,0.05849548368105125,0.053745248258453095,0.1724784021999559,0.07931120838920333,1.0,0.34381470649011125,0.2860518126328874,70.0567940529274
