workload1,idx1,workload2,idx2,workload3,idx3,workload4,idx4,w1_Threads,w1_Compute (SM) Throughput,w1_DRAM Throughput,w1_Memory Throughput,w1_Registers,w1_Static Shared Memory,w2_Threads,w2_Compute (SM) Throughput,w2_DRAM Throughput,w2_Memory Throughput,w2_Registers,w2_Static Shared Memory,w3_Threads,w3_Compute (SM) Throughput,w3_DRAM Throughput,w3_Memory Throughput,w3_Registers,w3_Static Shared Memory,w4_Threads,w4_Compute (SM) Throughput,w4_DRAM Throughput,w4_Memory Throughput,w4_Registers,w4_Static Shared Memory,w1throughput,w2throughput,w3throughput,w4throughput,w1exclusive_throughput,w1sm%,w1mem%,w1memcap,w2exclusive_throughput,w2sm%,w2mem%,w2memcap,w3exclusive_throughput,w3sm%,w3mem%,w3memcap,w4exclusive_throughput,w4sm%,w4mem%,w4memcap
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,vit_h_14_batch2-train,3,bert-base-cased_batch8-train,5,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,183316.888392316,44.95736442315827,46.30171509953436,72.30406066464882,9279376.251384592,6320.710134302391,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,23.07540213307901,23.01437238275314,1.5812128488184825,12.321478577429293,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,6.908856242645105,97.51923076923076,47.9423,14.3,29.24021138236145,96.7,45.2,4.9
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,wav2vec2-base-960h_batch8-inf,4,albert-base-v2_batch2-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,682756.7824714864,62.780644321909016,21.0702801326792,64.2385060757653,27973292.570635416,74003.0752817931,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,17.85489299663421,18.048833739674684,39.75581634385921,4.272684466612023,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,66.49987894439512,18.24,6.6,11.4,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,wav2vec2-base-960h_batch8-inf,4,whisper-large-v2_batch2-inf,11,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,682756.7824714864,62.780644321909016,21.0702801326792,64.2385060757653,27973292.570635416,74003.0752817931,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,16.205046107603465,16.307742890021373,34.98429572360474,0.989586329900466,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,66.49987894439512,18.24,6.6,11.4,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch8-train,5,bert-base-cased_batch2-train,7,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,24.313129580157348,24.32207129897514,13.723640195561872,3.6180953661488062,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,29.24021138236145,96.7,45.2,4.9,23.23807288304677,97.27272727272728,47.76623376623377,3.1
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch8-train,5,wav2vec2-base-960h_batch2-inf,9,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,21.118514891533433,21.216755248045686,11.26748355922471,16.61548071417417,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,29.24021138236145,96.7,45.2,4.9,17.806821914492676,17.464285714285715,5.428571428571429,3.9
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch8-train,5,vit_h_14_batch8-train,12,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,17.961415547850333,17.859714820682704,9.315188123135144,4.229422683803661,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,29.24021138236145,96.7,45.2,4.9,9.500815660685156,96.99371069182388,32.52201,17.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch8-inf,6,whisper-large-v2_batch8-inf,6,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,11.632747591657726,11.470093332789911,1.6765257813467456,1.6769570851436848,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,10.73243670597552,45.11811023622048,19.79265091863517,11.4,10.73243670597552,45.11811023622048,19.79265091863517,11.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch8-inf,6,wav2vec2-base-960h_batch2-inf,9,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,13.580576489995961,13.602270701641322,2.5285996859642323,10.531837624081994,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,10.73243670597552,45.11811023622048,19.79265091863517,11.4,17.806821914492676,17.464285714285715,5.428571428571429,3.9
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch8-inf,6,albert-base-v2_batch2-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,14.667154079721877,15.017674531265376,2.696921789268111,3.7828525347311315,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,10.73243670597552,45.11811023622048,19.79265091863517,11.4,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch8-inf,6,whisper-large-v2_batch2-inf,11,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,18.950407258480258,20.335578036755738,2.4266585778047403,1.1455151346848098,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,10.73243670597552,45.11811023622048,19.79265091863517,11.4,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch8-inf,6,bert-base-cased_batch8-inf,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,9.774554627148037,9.778023104522337,2.05047956939929,34.95637792424487,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,10.73243670597552,45.11811023622048,19.79265091863517,11.4,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch2-train,7,vit-base-patch16-224_batch8-inf,8,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,32.78634343033728,32.286937134859805,5.425323402587221,54.20523406805621,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,23.23807288304677,97.27272727272728,47.76623376623377,3.1,79.59099074202018,27.05555555555556,6.055555555555555,3.1
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch2-train,7,vit_h_14_batch8-train,12,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,21.855274898379584,22.049099254287018,3.235999956563759,5.155092117981313,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,23.23807288304677,97.27272727272728,47.76623376623377,3.1,9.500815660685156,96.99371069182388,32.52201,17.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,bert-base-cased_batch2-train,7,bert-base-cased_batch8-inf,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,17.143202771945287,17.228802667685574,2.327542587282847,62.37443468893999,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,23.23807288304677,97.27272727272728,47.76623376623377,3.1,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,vit-base-patch16-224_batch8-inf,8,albert-base-v2_batch2-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,30.000151210439572,30.278981747146084,52.98094464288452,7.7261108079386505,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,79.59099074202018,27.05555555555556,6.055555555555555,3.1,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,wav2vec2-base-960h_batch2-inf,9,albert-base-v2_batch2-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,25.350421016316776,25.436223541327454,19.961021388581997,6.217440406076577,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,17.806821914492676,17.464285714285715,5.428571428571429,3.9,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,wav2vec2-base-960h_batch2-inf,9,bert-base-cased_batch8-inf,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,14.82932079617906,14.821233807951472,12.552423112767942,54.23489013013427,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,17.806821914492676,17.464285714285715,5.428571428571429,3.9,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch2-inf,11,whisper-large-v2_batch2-inf,11,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,24.034209984372914,24.063652241412772,1.2407196173780795,1.2400992079366349,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,1.7085028704506966,37.63403263403264,16.834498834498834,8.3,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch2-inf,11,vit_h_14_batch8-train,12,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,18.946845693985523,19.114785055012813,1.0765329971528537,4.172883535305749,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,1.7085028704506966,37.63403263403264,16.834498834498834,8.3,9.500815660685156,96.99371069182388,32.52201,17.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,whisper-large-v2_batch2-inf,11,bert-base-cased_batch8-inf,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,14.716244983941193,14.816806321040763,0.8975911159353734,53.12210132658019,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,1.7085028704506966,37.63403263403264,16.834498834498834,8.3,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,vit_h_14_batch8-train,12,bert-base-cased_batch8-inf,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,13.42272798002828,13.425997983393449,3.0723277149562622,48.82907817064773,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,9.500815660685156,96.99371069182388,32.52201,17.4,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,albert-base-v2_batch8-train,1,albert-base-v2_batch8-train,1,vit-base-patch16-224_batch2-inf,2,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,16.457082185872125,13.209737276636094,13.10246486046038,15.322045152722444,84.1300191204589,92.5,40.0,1.2,29.67588370763072,97.38028169014083,46.74647887323944,6.6,29.67588370763072,97.38028169014083,46.74647887323944,6.6,63.42342342342342,29.454545454545453,4.181818181818182,1.6
bert-base-cased_batch2-inf,0,albert-base-v2_batch8-train,1,albert-base-v2_batch8-train,1,albert-base-v2_batch2-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,15.726186796027235,12.384859509249942,12.408487405385285,3.4063637067430523,84.1300191204589,92.5,40.0,1.2,29.67588370763072,97.38028169014083,46.74647887323944,6.6,29.67588370763072,97.38028169014083,46.74647887323944,6.6,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,albert-base-v2_batch8-train,1,vit-base-patch16-224_batch2-inf,2,bert-base-cased_batch8-train,5,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,18.709038615682022,15.392337292956332,17.071483330528597,10.358961377819751,84.1300191204589,92.5,40.0,1.2,29.67588370763072,97.38028169014083,46.74647887323944,6.6,63.42342342342342,29.454545454545453,4.181818181818182,1.6,29.24021138236145,96.7,45.2,4.9
